ID,Date,Time,latitude,longitude,water_temp,light_lux,air_temp,wind_speed,salinity
51,2024-01-13,12:00:00,6.9361,79.8443,27.52441441,27965.125,27.91146787,5.189803819,32.24102537
52,2024-01-13,18:00:00,6.9361,79.8443,27.5351782,21.70833333,25.61860402,5.265942653,32.24170732
53,2024-01-14,00:00:00,6.9361,79.8443,27.53467867,5.791666667,26.21864764,5.610473692,32.23830438
54,2024-01-14,06:00:00,6.9361,79.8443,27.54234937,32579.25,30.23257446,4.135724664,32.24091147
55,2024-01-14,12:00:00,6.9361,79.8443,27.54725396,28088.83333,27.95272255,3.256981005,32.24538401
56,2024-01-14,18:00:00,6.9361,79.8443,27.55353147,21.79166667,24.86109924,5.754987419,32.24760124
57,2024-01-15,00:00:00,6.9361,79.8443,27.53831623,5.916666667,25.42140198,7.58738476,32.2522171
58,2024-01-15,06:00:00,6.9361,79.8443,27.56811072,33342.83333,28.60724004,6.421296438,32.25191449
59,2024-01-15,12:00:00,6.9361,79.8443,27.57501038,28817.75,27.03101349,4.056433946,32.25444357
60,2024-01-15,18:00:00,6.9361,79.8443,27.57706369,22.16666667,24.7038873,3.153375884,32.25529146
61,2024-01-16,00:00:00,6.9361,79.8443,27.5845674,5.5,25.54919624,3.968235145,32.25509807
62,2024-01-16,06:00:00,6.9361,79.8443,27.5812242,33181.08333,28.70884832,2.694723964,32.24786979
63,2024-01-16,12:00:00,6.9361,79.8443,27.59972371,28223.91667,27.41810544,1.584538866,32.2390182
64,2024-01-16,18:00:00,6.9361,79.8443,27.59073665,22.83333333,25.41982714,0.9460793634,32.22993812
65,2024-01-17,00:00:00,6.9361,79.8443,27.59530539,5.541666667,26.3602136,1.470869313,32.21812072
66,2024-01-17,06:00:00,6.9361,79.8443,27.5941901,33316.54167,28.98707771,1.875261044,32.21147587
67,2024-01-17,12:00:00,6.9361,79.8443,27.60202909,28897.29167,27.266126,1.640930351,32.20748862
